ΕΛΛΗΝΙΚΗ ΟΝΟΜΑΤΟΛΟΓΙΑ ΚΑΙ ΚΩΔΙΚΟΠΟΙΗΣΗ ΤΩΝ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;;;
Α/α;ΚΩΔΙΚΟΣ;ΤΕΛΙΚΕΣ ΟΝΟΜΑΣΙΕΣ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;
61;A400883;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ, ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)· ΜΕ ΜΗΧΑΝΙΚΟ  ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ;;;;;
62;A400885;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)· ΑΠΟΦΛΟΙΩΣΗ ΤΟΥ ΥΠΕΖΩΚΟΤΟΣ;;;;;
63;A400893;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΚΑΙ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)· ΠΝΕΥΜΟΝΕΚΤΟΜΗ ΜΕ ΘΩΡΑΚΟΠΛΑΣΤΙΚΗ;;;;;
64;A400897;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ) ΕΝΔΟΘΩΡΑΚΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΤΡΑΧΕΙΑ ΚΑΙ ΤΟΥΣ ΒΡΟΓΧΟΥΣ;;;;;
65;A400901;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΧΕΙΡΟΥΡΓΙΚΟ ΚΑΘΑΡΙΣΜΟ ΤΟΥ ΣΤΕΡΝΟΥ;;;;;
66;A400921;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΑΡΔΙΑ, ΤΟΝ ΠΕΡΙΚΑΡΔΙΑΚΟ ΣΑΚΟ ΚΑΙ ΤΑ ΜΕΓΑΛΑ ΑΓΓΕΙΑ ΤΟΥ ΘΩΡΑΚΑ· ΧΩΡΙΣ ΑΝΤΛΙΑ ΟΞΥΓΟΝΩΤΟΥ;;;;;
67;A400923;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΑΡΔΙΑ, ΤΟΝ ΠΕΡΙΚΑΡΔΙΑΚΟ ΣΑΚΟ ΚΑΙ ΤΑ ΜΕΓΑΛΑ ΑΓΓΕΙΑ ΤΟΥ ΣΤΗΘΟΥΣ· ΜΕ ΑΝΤΛΙΑ ΟΞΥΓΟΝΩΤΟΥ, ΓΙΑ ΗΛΙΚΙΕΣ ΜΙΚΡΟΤΕΡΕΣ ΤΟΥ ΕΝΟΣ ΕΤΟΥΣ;;;;;
68;A400925;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΑΡΔΙΑ, ΤΟΝ ΠΕΡΙΚΑΡΔΙΑΚΟ ΣΑΚΟ ΚΑΙ ΤΑ ΜΕΓΑΛΑ ΑΓΓΕΙΑ ΤΟΥ ΘΩΡΑΚΑ· ΜΕ ΑΝΤΛΙΑ ΟΞΥΓΟΝΩΤΟΥ, ΓΙΑ ΗΛΙΚΙΕΣ ΑΝΩ ΤΟΥ ΕΝΟΣ ΕΤΟΥΣ, ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΜΗ-ΣΤΕΦΑΝΙΑΙΑΣ ΠΑΡΑΚΑΜΨΗΣ (Λ.Χ. ΕΠΕΜΒΑΣΕΙΣ ΑΝΤΙΚΑΤΑΣΤΑΣΗΣ ΒΑΛΒΙΔΑΣ) Ή ΓΙΑ ΕΠΑΝΕΓΧΕΙΡΗΣΗ ΓΙΑ ΣΤΕΦΑΝΙΑΙΑ ΠΑΡΑΚΑΜΨΗ ΣΕ ΔΙΑΣΤΗΜΑ ΜΕΓΑΛΥΤΕΡΟ ΤΟΥ ΕΝΟΣ ΜΗΝΟΣ ΑΠΟ ΤΗΝ ΠΡΩΤΗ ΕΓΧΕΙΡΗΣΗ;;;;;
69;A400927;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΑΡΔΙΑ, ΤΟΝ ΠΕΡΙΚΑΡΔΙΑΚΟ ΣΑΚΟ ΚΑΙ ΤΑ ΜΕΓΑΛΑ ΑΓΓΕΙΑ ΤΟΥ ΘΩΡΑΚΑ· ΜΕ ΑΝΤΛΙΑ ΟΞΥΓΟΝΩΤΟΥ ΜΕ ΥΠΟΘΕΡΜΙΚΗ ΚΥΚΛΟΦΟΡΙΚΗ ΠΑΥΣΗ;;;;;
70;A400933;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΟΣΧΕΥΜΑ ΑΜΕΣΗΣ ΑΟΡΤΟΣΤΕΦΑΝΙΑΙΑΣ ΠΑΡΑΚΑΜΨΗΣ· ΧΩΡΙΣ ΑΝΤΛΙΑ ΟΞΥΓΟΝΩΤΟΥ ΜΕ ΑΕΡΑΝΤΛΙΑ;;;;;
71;A400935;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΟΣΧΕΥΜΑ ΑΜΕΣΗΣ ΑΟΡΤΟΣΤΕΦΑΝΙΑΙΑΣ ΠΑΡΑΚΑΜΨΗΣ·  ΜΕ ΑΝΤΛΙΑ ΟΞΥΓΟΝΩΤΟΥ;;;;;
72;A400961;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΤΑΜΟΣΧΕΥΣΗ ΚΑΡΔΙΑΣ Ή ΜΕΤΑΜΟΣΧΕΥΣΗ ΚΑΡΔΙΑΣ/ΠΝΕΥΜΟΝΟΣ;;;;;
73;A401001;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΑΥΧΕΝΙΚΗ ΜΟΙΡΑ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΚΑΙ ΤΟΝ ΝΩΤΙΑΙΟ ΜΥΕΛΟ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
74;A401009;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΑΥΧΕΝΙΚΗ ΜΟΙΡΑ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΚΑΙ ΤΟΥ ΝΩΤΙΑΙΟΥ ΜΥΕΛΟΥ· ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΤΟΝ ΑΣΘΕΝΗ ΣΕ ΚΑΘΙΣΤΗ ΣΤΑΣΗ;;;;;
75;A401041;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΘΩΡΑΚΙΚΗ ΜΟΙΡΑ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΚΑΙ ΤΟΥ ΝΩΤΙΑΙΟΥ ΜΥΕΛΟΥ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
76;A401045;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΘΩΡΑΚΙΚΗ ΜΟΙΡΑ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΚΑΙ ΤΟΥ ΝΩΤΙΑΙΟΥ ΜΥΕΛΟΥ· ΘΩΡΑΚΟ-ΟΣΦΥΙΚΗ ΣΥΜΠΑΘΕΚΤΟΜΗ;;;;;
77;A401051;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΘΩΡΑΚΙΚΗ ΜΟΙΡΑ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΚΑΙ ΤΟΥ ΝΩΤΙΑΙΟΥ ΜΥΕΛΟΥ, ΜΕΣΩ  ΠΡΟΣΘΙΑΣ ΔΙΑΘΩΡΑΚΙΚΗΣ ΠΡΟΣΠΕΛΑΣΗΣ· ΧΩΡΙΣ ΜΗΧΑΝΙΚΟ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ;;;;;
78;A401053;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΘΩΡΑΚΙΚΗ ΜΟΙΡΑ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΚΑΙ ΤΟΥ ΝΩΤΙΑΙΟΥ ΜΥΕΛΟΥ, ΜΕΣΩ  ΠΡΟΣΘΙΑΣ ΔΙΑΘΩΡΑΚΙΚΗΣ ΠΡΟΣΠΕΛΑΣΗΣ· ΜΕ ΧΡΗΣΗ ΜΗΧΑΝΙΚΟΥ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ;;;;;
79;A401061;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΟΣΦΥΙΚΗ ΜΟΙΡΑ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
80;A401065;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΟΣΦΥΙΚΗ ΜΟΙΡΑ· ΟΣΦΥΙΚΗ ΣΥΜΠΑΘΕΚΤΟΜΗ;;;;;
81;A401069;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΟΣΦΥΙΚΗ ΜΟΙΡΑ· ΧΗΜΙΚΗ ΛΥΣΗ ΠΗΚΤΟΕΙΔΟΥΣ ΠΥΡΗΝΑ;;;;;
82;A401071;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΟΣΦΥΙΚΗ ΜΟΙΡΑ· ΔΙΑΓΝΩΣΤΙΚΗ Ή ΘΕΡΑΠΕΥΤΙΚΗ ΟΣΦΥΙΚΗ ΠΑΡΑΚΕΝΤΗΣΗ;;;;;
83;A401081;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΧΕΙΡΙΣΜΟ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ Ή ΓΙΑ ΚΛΕΙΣΤΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ  ΤΗΝ ΑΥΧΕΝΙΚΗ, ΤΗ ΘΩΡΑΚΙΚΗ Ή ΤΗΝ ΟΣΦΥΙΚΗ ΜΟΙΡΑ ΤΟΥ ΝΩΤΙΑΙΟΥ ΜΥΕΛΟΥ;;;;;
84;A401141;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΚΤΕΤΑΜΕΝΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΣΠΟΝΔΥΛΙΚΗ ΣΤΗΛΗ ΚΑΙ ΤΟ ΝΩΤΙΑΙΟ ΜΥΕΛΟ (Π.Χ. ΜΗΧΑΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ Ή ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΑΓΓΕΙΑ);;;;;
85;A401201;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΑΝΩ ΠΡΟΣΘΙΟ ΚΟΙΛΙΑΚΟ ΤΟΙΧΩΜΑ·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
86;A401205;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΑΝΩ ΠΡΟΣΘΙΟ ΚΟΙΛΙΑΚΟ ΤΟΙΧΩΜΑ· ΔΙΑΔΕΡΜΙΚΗ ΒΙΟΨΙΑ ΗΠΑΤΟΣ;;;;;
87;A401261;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΑΝΩ ΟΠΙΣΘΙΟ ΚΟΙΛΙΑΚΟ ΤΟΙΧΩΜΑ;;;;;
88;A401281;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΚΟΠΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΑΝΩ ΓΑΣΤΡΕΝΤΕΡΙΚΟ ΣΥΣΤΗΜΑ, ΟΠΟΥ Η ΕΝΔΟΣΚΟΠΗΣΗ ΕΙΣΑΓΕΤΑΙ ΚΕΝΤΡΙΚΑ ΤΟΥ ΔΩΔΕΚΑΔΑΚΤΥΛΟΥ;;;;;
89;A401301;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΛΑΣΤΙΚΗ ΚΗΛΗΣ  ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
90;A401305;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΛΑΣΤΙΚΗ ΚΗΛΗΣ ΣΤΗΝ ΑΝΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ· ΟΣΦΥΙΚΕΣ ΚΑΙ ΚΟΙΛΙΑΚΕΣ (ΜΕΤΕΓΧΕΙΡΗΤΙΚΕΣ) ΚΗΛΕΣ ΚΑΙ/Ή ΔΙΑΣΠΑΣΗ ΤΡΑΥΜΑΤΟΣ;;;;;
91;A401309;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΛΑΣΤΙΚΗ ΚΗΛΗΣ ΣΤΗΝ ΑΝΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ· ΟΜΦΑΛΟΚΗΛΗ;;;;;
92;A401313;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΛΑΣΤΙΚΗ ΚΗΛΗΣ ΣΤΗΝ ΑΝΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ· ΔΙΑΚΟΙΛΙΑΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ  ΔΙΑΦΡΑΓΜΑΤΙΚΗΣ ΚΗΛΗΣ;;;;;
93;A401341;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΚΥΡΙΑ ΑΙΜΟΦΟΡΑ ΑΓΓΕΙΑ ΤΗΣ ΚΟΙΛΙΑΚΗΣ ΧΩΡΑΣ;;;;;
94;A401381;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΑΝΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
95;A401385;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΑΝΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΜΕΡΙΚΗ ΗΠΑΤΕΚΤΟΜΗ Ή ΑΝΤΙΜΕΤΩΠΙΣΗ ΗΠΑΤΙΚΗΣ ΑΙΜΟΡΡΑΓΙΑΣ (ΕΞΑΙΡΕΣΗ ΑΠΟΤΕΛΕΙ Η ΗΠΑΤΙΚΗ ΒΙΟΨΙΑ);;;;;
96;A401389;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΑΝΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ (Π.Χ. ΕΠΕΜΒΑΣΗ ΚΑΤΑ WHIPPLE);;;;;
97;A401393;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΑΝΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΜΕΤΑΜΟΣΧΕΥΣΗ ΗΠΑΤΟΣ (ΔΕΚΤΗΣ);;;;;
98;A401395;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΑΝΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΕΠΕΜΒΑΣΗ ΠΕΡΙΟΡΙΣΜΟΥ ΤΟΥ ΣΤΟΜΑΧΟΥ;;;;;
99;A401401;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΚΑΤΩ ΠΡΟΣΘΙΟ ΚΟΙΛΙΑΚΟ ΤΟΙΧΩΜΑ·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
100;A401405;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΚΑΤΩ ΠΡΟΣΘΙΟ ΚΟΙΛΙΑΚΟ ΤΟΙΧΩΜΑ· ΕΚΤΟΜΗ ΠΕΡΙΣΣΕΙΑΣ ΔΕΡΜΑΤΟΛΙΠΩΔΟΥΣ ΙΣΤΟΥ;;;;;
101;A401421;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΣΚΟΠΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΚΑΤΩ ΓΑΣΤΡΕΝΤΕΡΙΚΟ ΣΥΣΤΗΜΑ, ΟΠΟΥ Η ΕΝΔΟΣΚΟΠΗΣΗ ΕΙΣΑΓΕΤΑΙ ΠΕΡΙΦΕΡΙΚΑ ΤΟΥ ΔΩΔΕΚΑΔΑΚΤΥΛΟΥ;;;;;
102;A401441;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΚΑΤΩ ΟΠΙΣΘΙΟ ΚΟΙΛΙΑΚΟ ΤΟΙΧΩΜΑ;;;;;
103;A401461;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΛΑΣΤΙΚΗ ΚΗΛΗΣ ΣΤΗΝ ΚΑΤΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
104;A401465;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΛΑΣΤΙΚΗ ΚΗΛΗΣ ΣΤΗΝ ΚΑΤΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ· ΚΟΙΛΙΟΚΗΛΕΣ Ή ΜΕΤΕΓΧΕΙΡΗΤΙΚΕΣ  ΚΗΛΕΣ;;;;;
105;A401469;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΛΑΣΤΙΚΗ ΚΗΛΗΣ ΣΤΗΝ ΚΑΤΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ ΠΟΥ ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ, ΓΙΑ ΗΛΙΚΙΕΣ ΚΑΤΩ ΤΟΥ ΕΝΟΣ ΕΤΟΥΣ;;;;;
106;A401473;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΛΑΣΤΙΚΗ ΚΗΛΗΣ ΣΤΗΝ ΚΑΤΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΠΟΥ ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ, ΒΡΕΦΗ ΜΕ ΗΛΙΚΙΑ ΚΥΗΣΗΣ ΚΑΤΩ ΤΩΝ 37 ΕΒΔΟΜΑΔΩΝ ΚΑΤΑ ΤΗ ΓΕΝΝΑ ΚΑΙ ΜΕ ΗΛΙΚΙΑ ΚΥΗΣΗΣ ΚΑΤΩ ΤΩΝ 50 ΕΒΔΟΜΑΔΩΝ ΚΑΤΑ ΤΗ ΣΤΙΓΜΗ ΤΗΣ ΕΓΧΕΙΡΗΣΗΣ;;;;;
107;A401481;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΚΑΤΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ;;;;;
108;A401485;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΚΑΤΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΑΜΝΙΟΚΕΝΤΗΣΗ;;;;;
109;A401489;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΚΑΤΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΚΟΙΛΙΟΠΕΡΙΝΕΪΚΗ ΕΚΤΟΜΗ;;;;;
110;A401493;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΗΝ ΚΑΤΩ ΚΟΙΛΙΑΚΗ ΧΩΡΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΛΑΠΑΡΟΣΚΟΠΗΣΗΣ· ΡΙΖΙΚΗ ΥΣΤΕΡΕΚΤΟΜΗ;;;;;
